"EPCI_EPT","TYPO_IPCE","TYPO_INEG","TYPO_FREI"
"240200592","MOY","Q4","DEGP"
"240200600","DEGP","Q5","DEGP"
"240200634","DEGP","Q5","DEG"
"240300491","MOY","Q3","DEG"
"240300558","MOY","Q2","DEG"
"240300566","FAV","Q3","MOY"
"240300657","MOY","Q4","DEG"
"240400440","DEG","Q2","MOY"
"240500439","FAV","Q1","FAVP"
"240500462","MOY","Q5","FAVP"
"240600551","MOY","Q2","MOY"
"240600585","MOY","Q2","FAV"
"240600593","MOY","Q3","MOY"
"240700302","DEG","Q5","DEG"
"240700617","DEGP","Q2","MOY"
"240700716","FAV","Q4","DEG"
"240700815","MOY","Q3","MOY"
"240700864","DEGP","Q5","MOY"
"240800821","DEGP","Q5","MOY"
"240800847","DEG","Q5","DEG"
"240800862","DEG","Q5","MOY"
"240800920","DEGP","Q5","MOY"
"240900431","DEG","Q5","DEG"
"240900464","DEGP","Q3","DEGP"
"241000223","FAV","Q3","MOY"
"241000405","MOY","Q1","MOY"
"241000447","MOY","Q2","DEGP"
"241000488","MOY","Q3","DEG"
"241100593","DEGP","Q3","MOY"
"241200187","FAV","Q1","FAVP"
"241200542","FAV","Q2","DEG"
"241200567","MOY","Q4","FAVP"
"241200625","FAV","Q3","FAVP"
"241200641","FAVP","Q2","MOY"
"241200658","FAVP","Q3","FAVP"
"241200674","FAV","Q4","MOY"
"241200765","FAVP","Q5","DEG"
"241200807","FAV","Q4","MOY"
"241200906","MOY","Q5","MOY"
"241200914","FAV","Q4","DEG"
"241300375","MOY","Q4","MOY"
"241300417","DEG","Q4","MOY"
"241400415","MOY","Q2","FAVP"
"241400514","MOY","Q2","DEG"
"241400555","FAV","Q1","FAV"
"241400860","FAVP","Q1","FAVP"
"241400878","FAV","Q2","FAV"
"241500230","FAV","Q1","FAVP"
"241500255","MOY","Q4","DEGP"
"241500271","MOY","Q4","FAVP"
"241501055","MOY","Q3","FAVP"
"241501089","FAV","Q1","DEG"
"241501139","FAV","Q4","MOY"
"241600303","MOY","Q2","DEG"
"241700434","MOY","Q1","FAVP"
"241700459","MOY","Q1","FAVP"
"241700517","FAV","Q4","FAV"
"241700624","DEG","Q1","FAVP"
"241700632","MOY","Q4","MOY"
"241700640","MOY","Q1","FAVP"
"241700699","DEG","Q1","FAVP"
"241800374","MOY","Q5","MOY"
"241800424","FAV","Q3","MOY"
"241800432","DEG","Q4","MOY"
"241800457","MOY","Q4","MOY"
"241800507","MOY","Q1","FAVP"
"241900133","MOY","Q5","MOY"
"241927201","FAV","Q1","FAV"
"241927243","FAV","Q5","MOY"
"242000354","MOY","Q5","FAVP"
"242000495","DEGP","Q5","DEG"
"242000503","FAV","Q1","MOY"
"242010056","FAV","Q3","FAVP"
"242010130","DEGP","Q4","MOY"
"242020071","MOY","Q1","FAV"
"242020105","DEGP","Q5","MOY"
"242100154","FAV","Q2","DEG"
"242100410","MOY","Q1","FAVP"
"242101434","MOY","Q5","MOY"
"242101442","MOY","Q2","FAVP"
"242101459","MOY","Q5","MOY"
"242101491","MOY","Q4","MOY"
"242101509","MOY","Q5","DEGP"
"242200715","MOY","Q1","MOY"
"242300135","DEG","Q1","FAV"
"242320000","MOY","Q1","DEGP"
"242320109","MOY","Q3","DEGP"
"242400752","MOY","Q3","MOY"
"242400935","DEG","Q4","DEG"
"242401024","MOY","Q1","DEG"
"242500320","FAVP","Q5","MOY"
"242500338","FAV","Q4","MOY"
"242500361","FAV","Q1","FAV"
"242504116","FAVP","Q4","FAV"
"242504181","FAVP","Q5","MOY"
"242504355","FAVP","Q5","MOY"
"242504371","FAVP","Q5","DEGP"
"242504447","FAVP","Q3","DEG"
"242504488","FAV","Q3","MOY"
"242504496","FAVP","Q5","MOY"
"242600252","MOY","Q4","MOY"
"242600492","MOY","Q2","FAV"
"242600534","DEG","Q2","MOY"
"242700276","MOY","Q1","MOY"
"242700607","FAV","Q3","MOY"
"242852465","FAV","Q2","DEG"
"242900074","FAVP","Q4","MOY"
"242900314","MOY","Q1","FAV"
"242900553","FAVP","Q3","MOY"
"242900561","MOY","Q3","MOY"
"242900629","MOY","Q3","FAV"
"242900645","DEG","Q2","FAV"
"242900660","FAV","Q2","FAVP"
"242900694","FAV","Q4","MOY"
"242900702","MOY","Q2","MOY"
"242900710","FAV","Q1","MOY"
"242900744","FAV","Q2","FAVP"
"242900751","FAV","Q2","MOY"
"242900769","MOY","Q2","FAV"
"242900793","FAV","Q3","MOY"
"242900801","FAVP","Q2","MOY"
"242900835","MOY","Q1","FAV"
"243000270","DEGP","Q2","MOY"
"243000296","MOY","Q4","DEG"
"243000569","MOY","Q4","MOY"
"243000585","DEG","Q5","DEG"
"243000593","DEG","Q5","MOY"
"243000643","DEG","Q3","MOY"
"243000650","DEG","Q4","MOY"
"243000684","MOY","Q4","DEG"
"243100518","MOY","Q1","FAVP"
"243100567","MOY","Q4","MOY"
"243100633","FAVP","Q2","FAV"
"243100732","FAVP","Q2","FAVP"
"243100773","FAV","Q3","MOY"
"243100781","FAVP","Q3","MOY"
"243100815","FAVP","Q1","FAV"
"243200391","MOY","Q2","MOY"
"243200409","FAV","Q3","DEG"
"243200417","MOY","Q3","FAV"
"243200425","MOY","Q2","FAVP"
"243200458","MOY","Q3","FAVP"
"243200508","DEG","Q3","MOY"
"243200599","FAV","Q3","FAVP"
"243200607","MOY","Q3","MOY"
"243300316","FAV","Q1","FAVP"
"243300563","MOY","Q2","MOY"
"243300811","DEGP","Q5","DEGP"
"243301165","FAVP","Q1","FAVP"
"243301181","DEG","Q5","DEG"
"243301215","FAV","Q2","MOY"
"243301223","MOY","Q4","MOY"
"243301249","FAV","Q2","MOY"
"243301264","FAVP","Q1","FAV"
"243301355","FAVP","Q1","FAV"
"243301371","DEGP","Q3","DEG"
"243301389","FAV","Q3","MOY"
"243301397","MOY","Q4","MOY"
"243301405","FAV","Q3","FAVP"
"243301439","FAVP","Q2","FAV"
"243301447","FAVP","Q1","MOY"
"243301454","DEG","Q4","DEG"
"243301504","FAV","Q3","FAVP"
"243400017","MOY","Q1","MOY"
"243400355","DEG","Q4","MOY"
"243400470","FAV","Q2","FAV"
"243400488","DEG","Q4","MOY"
"243400520","DEG","Q4","MOY"
"243400694","MOY","Q2","MOY"
"243400736","DEGP","Q2","DEG"
"243400769","DEGP","Q3","MOY"
"243400819","DEGP","Q3","MOY"
"243500139","MOY","Q1","FAV"
"243500550","FAVP","Q2","MOY"
"243500618","FAVP","Q2","MOY"
"243500634","FAVP","Q3","DEG"
"243500659","FAVP","Q1","FAVP"
"243500667","FAVP","Q2","MOY"
"243500725","FAV","Q2","FAVP"
"243500733","FAVP","Q3","MOY"
"243500741","MOY","Q3","MOY"
"243500774","FAVP","Q1","FAVP"
"243500782","MOY","Q1","FAVP"
"243600202","MOY","Q1","FAV"
"243600236","MOY","Q1","FAVP"
"243600293","FAV","Q2","FAVP"
"243600301","FAV","Q1","FAVP"
"243600319","MOY","Q1","FAVP"
"243600327","MOY","Q1","FAVP"
"243600343","MOY","Q5","MOY"
"243600350","MOY","Q2","MOY"
"243700499","FAV","Q1","MOY"
"243700754","MOY","Q1","FAV"
"243700820","FAV","Q2","FAVP"
"243800604","MOY","Q4","MOY"
"243800745","FAV","Q3","FAV"
"243800935","FAV","Q3","DEG"
"243800984","FAV","Q4","MOY"
"243801024","FAVP","Q2","FAVP"
"243801073","FAV","Q4","MOY"
"243801255","FAVP","Q2","MOY"
"243900354","FAVP","Q2","FAVP"
"243900420","MOY","Q5","MOY"
"243900479","MOY","Q3","FAVP"
"243900560","FAVP","Q2","MOY"
"243900610","FAVP","Q2","MOY"
"243901089","MOY","Q5","DEG"
"244000543","DEGP","Q5","MOY"
"244000659","FAV","Q2","MOY"
"244000675","DEG","Q3","MOY"
"244000691","DEG","Q5","FAVP"
"244000766","MOY","Q4","FAV"
"244000774","MOY","Q1","MOY"
"244000808","MOY","Q1","FAVP"
"244000824","FAV","Q1","FAV"
"244000857","MOY","Q4","FAV"
"244000865","MOY","Q3","MOY"
"244000873","MOY","Q5","FAVP"
"244000881","MOY","Q4","MOY"
"244100293","FAV","Q3","MOY"
"244100780","FAVP","Q2","MOY"
"244100798","FAV","Q1","MOY"
"244100806","FAV","Q1","FAV"
"244200614","FAVP","Q3","MOY"
"244200622","FAVP","Q4","MOY"
"244200630","FAVP","Q4","DEG"
"244200770","DEG","Q4","MOY"
"244200820","MOY","Q5","MOY"
"244200895","FAVP","Q4","MOY"
"244300307","FAVP","Q4","MOY"
"244301016","FAV","Q5","MOY"
"244301099","DEG","Q5","FAV"
"244301107","MOY","Q4","MOY"
"244301123","FAV","Q3","MOY"
"244301131","FAVP","Q4","FAVP"
"244400404","MOY","Q1","FAV"
"244400438","FAVP","Q2","FAVP"
"244400453","FAV","Q4","MOY"
"244400503","FAVP","Q3","FAVP"
"244400537","FAVP","Q3","FAVP"
"244400552","FAV","Q4","FAVP"
"244400586","MOY","Q4","FAVP"
"244400610","MOY","Q3","FAVP"
"244400644","DEG","Q4","MOY"
"244500203","DEGP","Q2","MOY"
"244500211","DEG","Q4","MOY"
"244500419","MOY","Q2","DEGP"
"244500427","FAVP","Q1","MOY"
"244500468","FAV","Q1","MOY"
"244500484","FAVP","Q1","MOY"
"244500542","FAV","Q4","DEGP"
"244600433","DEG","Q2","DEG"
"244600482","MOY","Q2","FAVP"
"244600532","FAV","Q4","MOY"
"244600573","MOY","Q4","MOY"
"244700449","DEG","Q5","DEG"
"244700464","DEG","Q3","DEGP"
"244701355","MOY","Q4","DEG"
"244701405","MOY","Q5","DEG"
"244800405","FAV","Q1","FAVP"
"244800470","MOY","Q1","FAVP"
"244900015","MOY","Q1","FAV"
"244900809","DEG","Q4","FAV"
"244900882","MOY","Q4","MOY"
"245100615","FAVP","Q1","MOY"
"245100888","MOY","Q2","DEGP"
"245100979","DEG","Q5","DEGP"
"245200597","MOY","Q4","MOY"
"245300223","FAVP","Q1","DEG"
"245300355","FAVP","Q2","MOY"
"245300389","FAVP","Q3","MOY"
"245300447","MOY","Q1","FAVP"
"245400171","FAV","Q2","MOY"
"245400189","FAV","Q3","MOY"
"245400262","MOY","Q5","DEG"
"245400510","FAV","Q4","DEG"
"245400601","FAV","Q2","MOY"
"245400676","MOY","Q1","FAV"
"245400759","FAVP","Q3","DEG"
"245500327","DEG","Q5","MOY"
"245501176","FAV","Q5","DEGP"
"245501184","DEG","Q5","MOY"
"245501242","DEG","Q5","DEGP"
"245501259","MOY","Q5","DEG"
"245600440","FAV","Q3","MOY"
"245600465","MOY","Q3","FAVP"
"245614383","FAV","Q3","MOY"
"245614417","MOY","Q2","MOY"
"245614433","MOY","Q2","FAVP"
"245700133","MOY","Q5","MOY"
"245700372","DEGP","Q5","DEGP"
"245700398","DEGP","Q5","DEG"
"245700695","FAVP","Q4","FAV"
"245700950","FAV","Q3","MOY"
"245701164","DEG","Q5","MOY"
"245701206","MOY","Q5","DEG"
"245701222","DEG","Q5","DEG"
"245701271","MOY","Q5","MOY"
"245701354","FAVP","Q4","FAV"
"245701362","MOY","Q3","MOY"
"245701404","MOY","Q5","MOY"
"245801063","FAVP","Q1","FAV"
"245804406","MOY","Q2","FAV"
"245804497","MOY","Q4","MOY"
"245900410","MOY","Q2","MOY"
"245900428","DEGP","Q5","MOY"
"245900758","FAV","Q5","DEG"
"245901038","DEG","Q5","DEG"
"245901061","FAV","Q4","DEG"
"245901152","DEGP","Q5","DEGP"
"245901160","DEGP","Q5","DEGP"
"246000129","MOY","Q1","DEGP"
"246000376","FAV","Q1","MOY"
"246000566","MOY","Q2","DEGP"
"246000582","MOY","Q2","DEG"
"246000707","FAV","Q2","DEG"
"246000749","MOY","Q4","MOY"
"246000756","DEGP","Q5","DEGP"
"246000764","FAVP","Q2","FAV"
"246000772","MOY","Q3","MOY"
"246000848","MOY","Q4","DEGP"
"246000855","MOY","Q4","DEG"
"246000871","FAV","Q1","DEG"
"246000897","FAV","Q3","DEG"
"246000913","MOY","Q3","DEGP"
"246000921","MOY","Q2","MOY"
"246100390","FAV","Q2","DEG"
"246100663","MOY","Q2","MOY"
"246200299","DEGP","Q5","DEGP"
"246200364","DEGP","Q5","DEGP"
"246200380","DEGP","Q5","DEG"
"246200729","DEGP","Q5","DEGP"
"246200844","DEG","Q5","DEG"
"246201016","MOY","Q5","DEGP"
"246300701","MOY","Q1","FAV"
"246300966","FAV","Q4","FAVP"
"246301097","FAV","Q1","MOY"
"246400337","FAV","Q2","MOY"
"246401756","FAV","Q4","MOY"
"246500482","FAV","Q1","MOY"
"246500573","FAVP","Q1","FAVP"
"246600282","DEG","Q2","MOY"
"246600373","DEG","Q1","MOY"
"246600399","FAV","Q1","FAV"
"246600415","DEGP","Q3","DEGP"
"246600423","DEGP","Q2","DEG"
"246600449","MOY","Q3","MOY"
"246600464","FAV","Q1","FAV"
"246600548","DEGP","Q1","DEG"
"246700306","MOY","Q3","DEG"
"246700488","MOY","Q1","FAV"
"246700744","FAVP","Q1","FAVP"
"246700777","FAV","Q5","MOY"
"246700843","FAVP","Q1","FAV"
"246700926","MOY","Q5","FAVP"
"246700959","FAVP","Q2","MOY"
"246700967","MOY","Q2","MOY"
"246701064","FAV","Q1","FAV"
"246701080","FAVP","Q2","FAVP"
"246701098","DEG","Q4","MOY"
"246800205","MOY","Q3","MOY"
"246800395","DEG","Q3","DEGP"
"246800445","FAV","Q5","MOY"
"246800494","FAV","Q3","MOY"
"246800551","FAV","Q3","FAVP"
"246800569","MOY","Q4","DEG"
"246800577","FAVP","Q2","MOY"
"246800585","FAVP","Q1","MOY"
"246800676","FAV","Q4","MOY"
"246800726","MOY","Q2","MOY"
"246900575","FAVP","Q2","FAV"
"246900625","FAVP","Q2","FAV"
"246900724","FAVP","Q1","MOY"
"246900740","FAVP","Q2","FAV"
"246900757","FAVP","Q4","FAV"
"246900765","FAVP","Q2","MOY"
"247000011","MOY","Q2","MOY"
"247000367","MOY","Q4","DEG"
"247000623","MOY","Q5","DEG"
"247000664","DEG","Q5","MOY"
"247000698","FAV","Q5","DEG"
"247000706","FAVP","Q2","DEG"
"247000714","MOY","Q5","DEG"
"247000722","MOY","Q4","MOY"
"247000755","DEG","Q3","MOY"
"247000821","MOY","Q5","DEG"
"247000854","MOY","Q4","DEG"
"247100290","DEG","Q4","FAV"
"247100589","MOY","Q2","MOY"
"247100639","FAV","Q4","MOY"
"247100647","DEG","Q5","FAVP"
"247103765","FAV","Q4","MOY"
"247103864","MOY","Q5","MOY"
"247104094","FAV","Q2","MOY"
"247200090","MOY","Q2","MOY"
"247200132","DEG","Q1","MOY"
"247200348","MOY","Q4","MOY"
"247200421","FAVP","Q3","MOY"
"247200447","FAV","Q3","MOY"
"247200629","FAVP","Q3","MOY"
"247200686","MOY","Q1","FAVP"
"247300015","FAV","Q5","FAVP"
"247300254","FAVP","Q1","FAVP"
"247300262","FAV","Q4","MOY"
"247300361","FAV","Q3","FAV"
"247300452","FAVP","Q3","FAVP"
"247300528","FAV","Q4","DEG"
"247300668","FAVP","Q2","MOY"
"247300676","FAV","Q5","DEG"
"247300817","FAVP","Q1","FAVP"
"247400047","FAV","Q3","MOY"
"247400112","FAVP","Q4","MOY"
"247400567","FAVP","Q4","MOY"
"247400583","FAVP","Q4","MOY"
"247400617","FAVP","Q2","FAV"
"247400666","FAVP","Q4","MOY"
"247400682","FAVP","Q1","FAVP"
"247400690","FAV","Q5","MOY"
"247400724","FAVP","Q2","MOY"
"247400740","FAV","Q4","MOY"
"247400773","FAV","Q3","MOY"
"247600505","FAV","Q4","MOY"
"247600588","DEGP","Q5","DEG"
"247600604","MOY","Q5","MOY"
"247600620","MOY","Q3","MOY"
"247600646","MOY","Q3","MOY"
"247600729","MOY","Q5","MOY"
"247600786","DEGP","Q3","FAV"
"247700032","FAVP","Q2","MOY"
"247700057","MOY","Q1","DEGP"
"247700065","FAV","Q2","DEGP"
"247700107","DEG","Q4","DEGP"
"247700339","FAVP","Q1","FAVP"
"247700594","FAVP","Q1","DEG"
"247700644","FAVP","Q1","DEG"
"247700701","FAV","Q2","DEG"
"247800550","FAVP","Q3","DEG"
"247800584","FAVP","Q2","FAVP"
"247800618","FAVP","Q1","MOY"
"247900798","DEG","Q5","MOY"
"248000499","MOY","Q2","MOY"
"248000531","MOY","Q1","MOY"
"248000747","DEG","Q5","DEG"
"248100158","MOY","Q4","MOY"
"248100430","DEG","Q3","MOY"
"248100497","MOY","Q5","DEG"
"248100737","MOY","Q1","FAVP"
"248100745","MOY","Q1","DEG"
"248200016","DEG","Q5","DEG"
"248200057","DEG","Q4","DEG"
"248200065","DEG","Q5","DEG"
"248200099","DEG","Q2","MOY"
"248200107","DEGP","Q4","MOY"
"248300394","MOY","Q3","MOY"
"248300410","MOY","Q2","MOY"
"248300493","DEG","Q4","MOY"
"248300543","MOY","Q2","MOY"
"248300550","DEGP","Q5","MOY"
"248400053","DEG","Q4","MOY"
"248400160","DEG","Q5","MOY"
"248400236","DEGP","Q5","DEG"
"248400251","DEGP","Q3","MOY"
"248400285","MOY","Q4","DEG"
"248400293","DEG","Q4","MOY"
"248400319","MOY","Q3","MOY"
"248400335","MOY","Q5","MOY"
"248500191","DEG","Q3","FAVP"
"248500258","DEG","Q2","FAVP"
"248500340","MOY","Q5","FAVP"
"248500415","MOY","Q5","DEG"
"248500464","FAV","Q4","FAVP"
"248500530","FAV","Q3","FAVP"
"248500563","FAV","Q3","MOY"
"248500589","MOY","Q2","FAV"
"248500621","FAV","Q4","FAVP"
"248500662","FAVP","Q3","FAVP"
"248600413","MOY","Q3","MOY"
"248600447","MOY","Q3","DEG"
"248700189","FAV","Q1","FAVP"
"248719262","FAVP","Q5","DEG"
"248719288","FAVP","Q1","MOY"
"248719312","FAV","Q1","MOY"
"248719338","MOY","Q2","MOY"
"248719353","DEG","Q4","DEG"
"248719361","FAV","Q1","MOY"
"248900334","DEG","Q3","MOY"
"248900383","DEGP","Q3","DEG"
"248900524","FAV","Q1","MOY"
"248900664","MOY","Q3","DEGP"
"248900748","FAV","Q1","DEGP"
"248900896","FAV","Q4","DEGP"
"248900938","DEG","Q2","MOY"
"249000241","DEG","Q5","MOY"
"249100074","FAVP","Q1","MOY"
"249100157","FAVP","Q2","DEG"
"249100546","FAVP","Q1","MOY"
"249100553","FAVP","Q1","MOY"
"249100595","FAVP","Q1","MOY"
"249500109","FAV","Q1","DEGP"
"249500430","FAVP","Q1","DEG"
"249500455","FAVP","Q1","DEG"
"249500489","MOY","Q1","DEGP"
"249500513","FAV","Q1","DEGP"
"249710047","DEGP","Q1","DEGP"
"249710062","DEGP","Q1","DEG"
"249710070","DEGP","Q1","DEG"
"249720053","DEGP","Q1","DEGP"
"249720061","DEG","Q1","FAV"
"249730037","DEGP","Q5","DEGP"
"249730045","DEGP","Q2","DEG"
"249730052","DEGP","Q5","DEGP"
"249740077","DEGP","Q5","DEG"
"249740085","DEGP","Q5","DEGP"
"249740093","DEGP","Q5","DEGP"
"249740101","DEGP","Q4","DEG"
"249740119","DEGP","Q3","MOY"
"75056","FAV","Q1","FAVP"
