"EPCI_EPT","TYPO_IPCE","TYPO_INEG","TYPO_FREI"
"200035137","MOY","Q2","MOY"
"200035202","FAV","Q4","MOY"
"200035319","DEG","Q4","MOY"
"200035327","DEG","Q5","DEG"
"200035442","MOY","Q4","DEG"
"200035459","MOY","Q1","MOY"
"200035533","MOY","Q1","FAV"
"200035541","MOY","Q4","MOY"
"200035632","MOY","Q3","MOY"
"200035707","DEG","Q5","MOY"
"200035715","DEG","Q2","MOY"
"200035723","DEG","Q5","DEG"
"200035731","MOY","Q3","FAV"
"200035756","FAV","Q3","MOY"
"200035764","FAV","Q1","MOY"
"200035772","FAVP","Q1","MOY"
"200035814","MOY","Q3","MOY"
"200035848","MOY","Q2","MOY"
"200035855","DEG","Q5","MOY"
"200035863","DEGP","Q4","DEG"
"200035970","FAVP","Q1","DEGP"
"200036069","MOY","Q1","FAV"
"200036077","DEG","Q3","MOY"
"200036135","MOY","Q1","FAV"
"200036150","MOY","Q5","DEGP"
"200036465","MOY","Q3","MOY"
"200036473","MOY","Q2","FAVP"
"200036499","FAV","Q3","MOY"
"200036523","DEG","Q1","DEG"
"200036549","DEG","Q4","MOY"
"200036572","FAV","Q2","MOY"
"200037059","DEGP","Q5","DEGP"
"200037133","MOY","Q3","DEGP"
"200038958","FAV","Q2","MOY"
"200038990","FAV","Q3","DEG"
"200039022","FAVP","Q2","MOY"
"200039055","FAVP","Q1","FAVP"
"200039063","FAVP","Q1","DEGP"
"200039204","DEG","Q5","MOY"
"200039519","FAV","Q1","MOY"
"200039642","MOY","Q1","MOY"
"200039709","DEG","Q4","DEG"
"200039758","MOY","Q3","FAVP"
"200039808","DEGP","Q5","MOY"
"200039824","MOY","Q5","DEG"
"200039832","DEGP","Q5","FAV"
"200039857","MOY","Q1","MOY"
"200039865","MOY","Q1","MOY"
"200039907","FAVP","Q4","MOY"
"200039915","MOY","Q1","MOY"
"200039931","DEG","Q2","DEGP"
"200039949","FAV","Q5","MOY"
"200040038","FAV","Q4","DEG"
"200040095","MOY","Q2","MOY"
"200040111","FAV","Q3","MOY"
"200040137","DEGP","Q5","MOY"
"200040178","FAV","Q5","MOY"
"200040202","DEGP","Q5","MOY"
"200040210","DEG","Q5","MOY"
"200040244","MOY","Q5","FAV"
"200040251","MOY","Q4","DEGP"
"200040277","MOY","Q3","DEGP"
"200040293","FAV","Q3","MOY"
"200040350","MOY","Q5","MOY"
"200040384","DEG","Q4","DEGP"
"200040392","MOY","Q1","MOY"
"200040400","MOY","Q2","MOY"
"200040418","MOY","Q3","DEGP"
"200040426","DEG","Q5","MOY"
"200040442","DEG","Q5","MOY"
"200040459","DEG","Q5","MOY"
"200040475","MOY","Q3","DEG"
"200040491","MOY","Q5","DEG"
"200040509","DEG","Q4","MOY"
"200040558","MOY","Q2","FAV"
"200040566","MOY","Q4","MOY"
"200040574","FAVP","Q3","DEG"
"200040590","MOY","Q1","MOY"
"200040624","DEG","Q4","MOY"
"200040657","MOY","Q4","MOY"
"200040681","DEGP","Q5","MOY"
"200040715","MOY","Q1","FAV"
"200040764","DEG","Q5","FAVP"
"200040772","MOY","Q4","DEGP"
"200040798","FAVP","Q2","FAVP"
"200040814","FAVP","Q1","MOY"
"200040830","MOY","Q1","DEG"
"200040889","MOY","Q5","DEG"
"200040905","DEG","Q3","DEG"
"200040947","MOY","Q4","MOY"
"200040954","MOY","Q5","MOY"
"200041010","FAV","Q4","MOY"
"200041051","DEG","Q5","DEG"
"200041150","DEG","Q5","DEG"
"200041168","DEG","Q4","MOY"
"200041283","FAVP","Q5","DEG"
"200041317","FAV","Q1","FAVP"
"200041325","FAVP","Q3","MOY"
"200041333","DEG","Q3","FAV"
"200041366","FAVP","Q3","FAV"
"200041416","MOY","Q5","FAVP"
"200041440","MOY","Q2","DEG"
"200041465","MOY","Q4","DEG"
"200041499","MOY","Q2","MOY"
"200041507","DEG","Q1","MOY"
"200041515","MOY","Q4","DEG"
"200041523","DEG","Q5","MOY"
"200041556","MOY","Q3","MOY"
"200041572","FAV","Q1","MOY"
"200041614","MOY","Q3","MOY"
"200041622","DEGP","Q5","DEGP"
"200041630","DEGP","Q4","MOY"
"200041689","DEG","Q5","MOY"
"200041721","DEG","Q5","MOY"
"200041762","DEG","Q4","FAVP"
"200041788","DEGP","Q2","DEGP"
"200041853","FAVP","Q5","DEGP"
"200041861","MOY","Q4","MOY"
"200041879","MOY","Q4","DEG"
"200041887","FAVP","Q4","DEG"
"200041960","FAVP","Q2","MOY"
"200041994","MOY","Q4","MOY"
"200042000","MOY","Q3","MOY"
"200042174","MOY","Q2","FAV"
"200042182","MOY","Q5","FAV"
"200042190","DEGP","Q5","DEGP"
"200042372","FAV","Q2","MOY"
"200042414","MOY","Q4","MOY"
"200042463","DEGP","Q3","MOY"
"200042497","FAVP","Q2","DEG"
"200042604","FAV","Q1","FAVP"
"200042620","DEG","Q5","DEG"
"200042646","DEGP","Q1","DEG"
"200042653","DEG","Q3","MOY"
"200042703","MOY","Q5","MOY"
"200042729","DEG","Q4","FAV"
"200042901","DEGP","Q5","MOY"
"200042935","MOY","Q4","MOY"
"200042943","MOY","Q3","DEG"
"200042992","MOY","Q5","DEG"
"200043016","DEG","Q3","MOY"
"200043065","MOY","Q1","MOY"
"200043081","MOY","Q5","FAVP"
"200043123","MOY","Q3","FAV"
"200043156","DEG","Q5","DEG"
"200043172","MOY","Q2","MOY"
"200043263","DEGP","Q5","DEGP"
